gender,maritalStatus,age
female,Single,47
female,Married,12
male,Married,20
female,Married,25
male,Married,38
male,Married,3
female,Married,35
female,Single,42
male,Married,73
male,Married,35
female,Married,3
female,Married,10
male,Married,35
male,Married,27
female,Married,40
female,Single,3
female,Married,3
male,Married,41
male,Single,21
female,Single,8
male,Married,3
male,Single,6
female,Married,77
male,Married,19
female,Married,47
female,Single,3
female,Married,64
female,Married,23
female,Married,3
male,Married,57
female,Married,3
male,Married,79
female,Single,51
male,Married,3
male,Married,24
male,Married,47
female,Married,58
male,Single,31
female,Single,20
male,Married,44
female,Single,62
female,Single,43
female,Married,57
female,Single,14
female,Married,32
female,Married,3
female,Single,28
male,Married,40
male,Married,24
male,Single,3
female,Married,13
male,Single,3
female,Married,62
male,Married,28
male,Single,3
male,Married,12
male,Single,11
female,Married,72
female,Married,32
male,Single,25
male,Single,36
female,Married,17
male,Married,23
female,Single,20
male,Married,13
female,Married,69
male,Married,46
female,Married,64
male,Single,54
male,Married,3
female,Married,85
female,Single,42
male,Married,71
male,Married,3
male,Married,3
male,Married,30
female,Married,55
female,Married,41
male,Married,32
male,Married,74
male,Married,25
male,Married,12
male,Married,11
female,Married,12
female,Married,8
female,Single,43
male,Married,31
male,Married,26
female,Married,84
female,Married,29
male,Married,16
male,Married,57
male,Single,60
female,Married,3
male,Married,25
male,Married,36
female,Married,59
female,Married,28
male,Married,66
male,Married,58
male,Single,58
male,Single,34
female,Married,26
male,Single,28
female,Married,24
female,Single,56
female,Married,38
male,Married,11
male,Married,28
female,Married,39
female,Married,46
female,Single,8
female,Married,74
male,Married,29
female,Married,34
male,Single,65
female,Married,34
male,Married,60
female,Married,67
male,Married,36
male,Married,35
male,Married,41
female,Married,15
female,Single,42
male,Married,49
male,Single,16
male,Single,37
female,Single,17
male,Married,73
male,Married,10
female,Married,58
male,Married,8
male,Married,63
female,Single,3
male,Married,3
female,Married,3
male,Married,28
male,Married,35
female,Single,57
female,Married,3
female,Married,26
male,Married,58
male,Married,38
male,Married,3
female,Married,21
female,Married,74
female,Single,39
female,Married,32
male,Married,41
male,Single,23
male,Single,51
male,Married,3
female,Married,68
male,Married,13
male,Married,53
female,Married,45
female,Single,3
male,Single,51
female,Single,3
female,Married,15
male,Married,50
female,Married,70
male,Married,39
male,Married,38
male,Married,46
male,Married,58
male,Single,28
female,Married,56
male,Single,36
male,Married,32
female,Single,50
female,Married,28
female,Married,22
female,Single,39
female,Married,69
female,Married,39
female,Married,26
male,Married,81
male,Single,34
female,Single,20
female,Married,52
female,Married,3
male,Married,68
female,Single,8
male,Married,46
male,Married,73
female,Single,35
male,Married,32
male,Married,16
male,Single,39
female,Married,42
male,Married,11
male,Married,3
male,Married,41
male,Married,41
male,Married,38
female,Married,49
female,Married,27
female,Single,42
female,Single,19
female,Married,41
male,Married,19
female,Married,3
male,Married,8
female,Single,42
female,Married,31
male,Single,17
male,Married,68
male,Single,11
female,Single,4
male,Married,57
female,Married,28
male,Single,14
male,Married,18
female,Married,20
female,Married,3
male,Married,25
male,Married,5
female,Married,41
female,Single,19
female,Married,81
male,Married,18
female,Married,18
male,Married,31
female,Single,49
female,Married,3
female,Married,3
female,Single,42
female,Married,42
female,Married,3
female,Married,3
female,Married,6
male,Married,3
female,Single,22
female,Married,53
male,Single,6
male,Married,45
female,Married,5
female,Married,47
male,Single,49
female,Single,3
female,Married,44
female,Married,38
male,Married,56
male,Single,3
male,Married,45
male,Single,40
female,Married,3
female,Married,3
female,Married,3
male,Married,40
male,Married,40
male,Single,7
female,Married,3
female,Married,7
male,Married,40
female,Married,74
male,Single,4
female,Married,6
female,Single,48
female,Married,3
female,Married,3
male,Single,30
female,Married,66
female,Married,3
male,Single,3
male,Married,3
female,Married,7
male,Single,53
male,Married,23
female,Single,62
female,Single,42
female,Married,49
female,Married,37
female,Married,28
male,Married,3
male,Married,52
male,Married,36
female,Married,10
male,Married,35
male,Married,51
male,Married,6
male,Married,23
male,Married,30
female,Married,64
male,Married,15
male,Married,33
female,Married,26
male,Single,3
female,Married,42
female,Married,51
female,Married,51
female,Single,40
female,Married,31
male,Single,64
female,Married,49
male,Married,3
female,Married,3
female,Married,59
male,Single,51
female,Married,61
female,Married,3
male,Married,3
male,Married,35
male,Married,26
female,Married,36
female,Married,28
male,Single,3
male,Married,3
female,Single,8
male,Married,69
female,Married,3
female,Married,3
female,Married,29
female,Married,57
male,Married,15
male,Married,33
female,Married,65
male,Married,3
female,Single,11
male,Married,35
male,Married,36
female,Married,3
male,Married,49
male,Married,3
female,Married,55
female,Married,23
male,Single,41
male,Married,53
female,Married,23
male,Married,3
male,Single,36
female,Married,34
female,Married,9
female,Married,35
male,Married,25
male,Single,8
female,Single,23
male,Married,26
female,Married,3
male,Single,47
female,Single,12
male,Married,42
male,Married,49
male,Single,14
male,Married,30
male,Married,63
male,Single,33
male,Married,27
female,Married,34
female,Married,53
female,Married,58
male,Single,42
male,Single,14
female,Married,9
male,Married,57
female,Single,41
male,Married,85
female,Married,35
female,Married,3
female,Married,13
male,Married,3
male,Single,41
female,Married,3
female,Married,44
male,Married,3
female,Married,32
male,Single,25
female,Married,39
male,Married,75
male,Married,51
male,Single,46
male,Married,23
male,Married,7
female,Married,44
female,Single,36
female,Single,15
female,Single,13
male,Married,40
male,Married,3
female,Married,35
male,Married,3
